,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
242,Spotlight,2015,8.1,93.0,400876,45.06,129
243,Blazing Saddles,1974,7.7,73.0,122173,119.5,93
244,Cast Away,2000,7.8,73.0,505347,233.63,143
245,Toy Story,1995,8.3,95.0,856735,191.8,81
246,Home Alone,1990,7.6,63.0,448145,285.76,103
247,A Beautiful Mind,2001,8.2,72.0,820353,170.74,135
248,The Godfather: Part III,1990,7.6,60.0,347006,66.67,162
249,Rocky,1976,8.1,70.0,501907,117.24,120
250,Nightcrawler,2014,7.9,76.0,442628,32.38,117
251,Princess Mononoke,1997,8.4,76.0,325304,2.38,134
252,Inside Out,2015,8.1,94.0,585631,356.46,95
253,Brokeback Mountain,2005,7.7,87.0,314655,83.04,134
254,The Imitation Game,2014,8.0,73.0,661006,91.13,114
255,Captain Fantastic,2016,7.9,72.0,179238,5.88,118
256,Trainspotting,1996,8.1,83.0,619178,16.5,93
257,Lost in Translation,2003,7.7,89.0,397771,44.59,102
258,The Exorcist,1973,8.0,81.0,351533,232.91,122
259,Man on Fire,2004,7.7,47.0,321596,77.91,146
260,The Intouchables,2011,8.5,57.0,729753,13.18,112
261,Vertigo,1958,8.3,100.0,347606,3.2,128
262,City of God,2002,8.6,79.0,681054,7.56,130
263,Training Day,2001,7.7,69.0,377696,76.63,122
264,Before Sunrise,1995,8.1,77.0,258670,5.54,101
265,The Florida Project,2017,7.6,92.0,87159,5.9,111
266,Once Upon a Time in the West,1968,8.5,80.0,291464,5.32,165
267,The Fault in Our Stars,2014,7.7,69.0,333676,124.87,126
268,Capernaum,2018,8.4,75.0,49534,1.66,126
269,Mulan,1998,7.6,71.0,241596,120.62,88
270,Warrior,2011,8.2,71.0,424185,13.66,140
271,Manchester by the Sea,2016,7.8,96.0,235453,47.7,137
272,Mary Poppins,1964,7.8,88.0,152979,102.27,139
273,The Incredibles,2004,8.0,90.0,638111,261.44,115
274,Ocean's Eleven,2001,7.7,74.0,500127,183.42,116
275,Crash,2004,7.8,66.0,413247,54.58,112
276,Office Space,1999,7.7,68.0,236116,10.82,89
277,Incredibles 2,2018,7.6,80.0,235448,608.58,118
278,Kill Bill: Vol. 2,2004,8.0,83.0,662357,66.21,137
279,Glory,1989,7.8,78.0,117705,26.83,122
280,The Deer Hunter,1978,8.1,86.0,301540,48.98,183
281,Rebel Without a Cause,1955,7.7,89.0,80800,,111
282,The Hunt,2012,8.3,77.0,265809,0.69,115
283,Stardust,2007,7.6,66.0,248060,38.63,127
284,Hell or High Water,2016,7.6,88.0,195288,26.86,102
285,Sherlock Holmes,2009,7.6,57.0,570757,209.03,128
286,PK,2014,8.1,,154251,10.62,153
287,Citizen Kane,1941,8.3,100.0,385505,1.59,119
288,Shaun of the Dead,2004,7.9,76.0,498492,13.54,99
289,Amélie,2001,8.3,69.0,685816,33.23,122
290,Argo,2012,7.7,86.0,559690,136.03,120
291,Being John Malkovich,1999,7.7,90.0,301106,22.86,113
292,What's Eating Gilbert Grape,1993,7.8,73.0,208349,9.17,118
293,Tangled,2010,7.7,71.0,392623,200.82,100
294,Seven Samurai,1954,8.6,98.0,304523,0.27,207
295,Lawrence of Arabia,1962,8.3,100.0,258713,44.82,228
296,Black Hawk Down,2001,7.7,74.0,355717,108.64,144
297,Blue Velvet,1986,7.8,76.0,174404,8.55,120
298,Dead Poets Society,1989,8.1,79.0,405842,95.86,128
299,Mystic River,2003,7.9,84.0,408419,90.14,138
300,The Pursuit of Happyness,2006,8.0,64.0,432784,163.57,117
301,Mad Max 2: The Road Warrior,1981,7.6,77.0,162132,12.47,96
302,Changeling,2008,7.7,63.0,231614,35.74,141
303,3 Idiots,2009,8.4,67.0,327256,6.53,170
304,Dallas Buyers Club,2013,8.0,80.0,426293,27.3,117
305,The Sandlot,1993,7.8,55.0,76182,32.42,101
306,28 Days Later...,2002,7.6,73.0,366836,45.06,113
307,Little Miss Sunshine,2006,7.8,80.0,428538,59.89,101
308,Big Fish,2003,8.0,58.0,405536,66.26,125
309,Up,2009,8.2,88.0,903561,293.0,96
310,Taken,2008,7.8,51.0,555339,145.0,90
311,Platoon,1986,8.1,92.0,370423,138.53,120
312,Billy Elliot,2000,7.7,74.0,122748,22.0,110
313,L.A. Confidential,1997,8.2,90.0,517644,64.62,138
314,Rush,2013,8.1,74.0,418573,26.95,123
315,Close Encounters of the Third Kind,1977,7.6,90.0,178317,132.09,138
316,Shrek,2001,7.8,84.0,595689,267.67,90
317,Lion,2016,8.0,69.0,203696,51.74,118
318,Slumdog Millionaire,2008,8.0,84.0,781777,141.32,120
319,The Machinist,2004,7.7,61.0,348107,1.08,101
320,Young Frankenstein,1974,8.0,80.0,139278,86.3,106
321,The Last Samurai,2003,7.7,55.0,388679,111.11,154
322,Fear and Loathing in Las Vegas,1998,7.6,41.0,252872,10.68,118
323,Rear Window,1954,8.4,100.0,427748,36.76,112
324,Saw,2004,7.6,46.0,369285,56.0,103
325,"Lock, Stock and Two Smoking Barrels",1998,8.2,66.0,520264,3.9,107
326,WALL·E,2008,8.4,95.0,966313,223.81,98
327,The Lives of Others,2006,8.4,89.0,346158,11.29,137
328,Big Hero 6,2014,7.8,74.0,397444,222.53,102
329,The Blind Side,2009,7.6,53.0,283181,255.96,129
330,"Monsters, Inc.",2001,8.0,79.0,788571,289.92,92
331,Million Dollar Baby,2004,8.1,86.0,617828,100.49,132
332,Amadeus,1984,8.3,88.0,357895,51.97,160
333,Monty Python and the Holy Grail,1975,8.2,93.0,487726,1.23,91
334,Star Trek Into Darkness,2013,7.7,72.0,456790,228.78,132
335,Aladdin,1992,8.0,86.0,359982,217.35,90
336,Misery,1990,7.8,75.0,177206,61.28,107
337,The Farewell,2019,7.6,89.0,41421,16.88,100
338,Groundhog Day,1993,8.0,72.0,565527,70.91,101
339,The Fugitive,1993,7.8,87.0,259530,183.88,130
